Name,Group,Type,Source,Time,Price,Link,Description,Name_unlinked
[Fundamentals of Data Visualization](https://clauswilke.com/dataviz/),General Analytical Skills,Online (book),Claus O. Wilke,N/A,Free,https://clauswilke.com/dataviz/,"The book is meant as a guide to making visualisations that accurately reflect the data, tell a story, and look professional.",Fundamentals of Data Visualization
[Bad data guide](https://github.com/Quartz/bad-data-guide),General Analytical Skills,Online,Quartz,N/A,Free,https://github.com/Quartz/bad-data-guide,An exhaustive reference to problems seen in real-world data along with suggestions on how to resolve them.,Bad data guide
[Preparing for Grade 7 in the Government Analytical Service: Maximising your effectiveness and impact](https://www.lsr-training.co.uk/analytical-leadership-management/preparing-for-grade-7-in-the-government-analytical-service-maximising-your-effectiveness-and-impact),General Analytical Skills,Face to face,LSR Training,4 days,890,https://www.lsr-training.co.uk/analytical-leadership-management/preparing-for-grade-7-in-the-government-analytical-service-maximising-your-effectiveness-and-impact,This course is for experienced Operational Researchers who are responsible for managing staff and starting to have a representation role in the Analytical Service. The aim of this course is to equip participants with many of the key skills needed to perform effectively at this level in the government analytical service. ,Preparing for Grade 7 in the Government Analytical Service: Maximising your effectiveness and impact
[Show me the Numbers](https://www.goodreads.com/book/show/543936.Show_Me_the_Numbers),General Analytical Skills,Book,Stephen Few,N/A,N/A,https://www.goodreads.com/book/show/543936.Show_Me_the_Numbers,"Tables and graphs can more adequately communicate important business information when they reflect the good design practices discussed in this practical guide to effective table and graph design. Information is provided on the fundamental concepts of table and graph design, the numbers and knowledge most suitable for display in a graphic form, the best tabular means to communicate certain ideas, and the component-level aspects of design.",Show me the Numbers
[Storytelling with Data: A Data Visualization Guide for Business](https://www.goodreads.com/book/show/26535513-storytelling-with-data),General Analytical Skills,Book,Cole Nussbaumer Knaflic,N/A,N/A,https://www.goodreads.com/book/show/26535513-storytelling-with-data,Don't simply show your data--tell a story with it! Storytelling with Data teaches you the fundamentals of data visualisation and how to communicate effectively with data.,Storytelling with Data: A Data Visualization Guide for Business
[Unconsious bias](https://learn.civilservice.gov.uk/courses/akG9Na6_QW6A9hovVW95kg),General Professional Skills,Online,Civil Service Learning,45 minutes,Free,https://learn.civilservice.gov.uk/courses/akG9Na6_QW6A9hovVW95kg,"This topic introduces you to techniques for challenging, preventing and removing issues of unconscious bias in the workplace. It helps you to develop strategies for overcoming your own bias and that of your colleagues.",Unconsious bias
[Leading in ambiguity](https://learn.civilservice.gov.uk/courses/kw1rRpnFS8SgNon8b30pwg),General Professional Skills,Face to face,Civil Service Learning,7 hours,See CSL,https://learn.civilservice.gov.uk/courses/kw1rRpnFS8SgNon8b30pwg,"You learn how to manage the tensions in your role that are created by ambiguity, paying particular attention to the importance of personal resilience.",Leading in ambiguity
[Emotional intelligence](https://learn.civilservice.gov.uk/courses/TqjvUs-zQYys2EiXYqj31Q),General Professional Skills,Online,Civil Service Learning,1.5 hours,Free,https://learn.civilservice.gov.uk/courses/TqjvUs-zQYys2EiXYqj31Q,"In a work environment, being able to fuse together intelligence, empathy and emotion can be a powerful tool. This topic demonstrates how you can harness your emotional intelligence to increase your capability for leadership and relationship building.",Emotional intelligence
[Presenting confidently](https://learn.civilservice.gov.uk/courses/ZtVOMjdqQd2ai4IXm-7H4A),General Professional Skills,Face to face,Civil Service Learning,3.5 hours,See CSL,https://learn.civilservice.gov.uk/courses/ZtVOMjdqQd2ai4IXm-7H4A,"This workshop gives you the opportunity to prepare a presentation, deliver it and, with feedback, improve upon it. Having to give a presentation at work is something many people find uncomfortable. But confidently and articulately delivered presentations are an important tool in being able to communicate effectively.",Presenting confidently
[Conducting high quality conversations](https://learn.civilservice.gov.uk/courses/lugd16coQzqXAfog_lYBYg),General Professional Skills,Face to face,Civil Service Learning,4 hours,See CSL,https://learn.civilservice.gov.uk/courses/lugd16coQzqXAfog_lYBYg,"This topic helps you understand the emotional triggers that can change the tone of a conversation. Conversations that focus on giving feedback, discussing personal issues or addressing inappropriate behaviour all have the potential to take a turn for the worse. At the workshop, you work through some real-life conversations and discover techniques to deal with different situations.",Conducting high quality conversations
